video_name,rgb_video_path,flow_video_path,label
Rush.Hour.1998.BluRay__#00-08-08_00-09-15_label_B2-B6-G.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Rush.Hour.1998.BluRay__#00-08-08_00-09-15_label_B2-B6-G_batch_198.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Rush.Hour.1998.BluRay__#00-08-08_00-09-15_label_B2-B6-G_batch_198.mp4,0
Taken.3.2014__#00-03-58_00-04-16_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Taken.3.2014__#00-03-58_00-04-16_label_B2-0-0_batch_1433.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Taken.3.2014__#00-03-58_00-04-16_label_B2-0-0_batch_1433.mp4,0
v=vhACO_m5pH0__#00-17-42_00-18-40_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=vhACO_m5pH0__#00-17-42_00-18-40_label_B6-0-0_batch_2072.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=vhACO_m5pH0__#00-17-42_00-18-40_label_B6-0-0_batch_2072.mp4,3
Operation.Red.Sea.2018__#0-02-17_0-02-37_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Operation.Red.Sea.2018__#0-02-17_0-02-37_label_B2-0-0_batch_2467.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Operation.Red.Sea.2018__#0-02-17_0-02-37_label_B2-0-0_batch_2467.mp4,0
v=tP19WuyY3IY__#00-06-10_00-07-51_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=tP19WuyY3IY__#00-06-10_00-07-51_label_B6-0-0_batch_2203.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=tP19WuyY3IY__#00-06-10_00-07-51_label_B6-0-0_batch_2203.mp4,3
Deadpool.2016__#0-18-58_0-19-20_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Deadpool.2016__#0-18-58_0-19-20_label_B1-0-0_batch_1387.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Deadpool.2016__#0-18-58_0-19-20_label_B1-0-0_batch_1387.mp4,0
v=nLAapCIlr-o__#00-08-35_00-10-25_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=nLAapCIlr-o__#00-08-35_00-10-25_label_B6-0-0_batch_972.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=nLAapCIlr-o__#00-08-35_00-10-25_label_B6-0-0_batch_972.mp4,3
v=HSisjzLESak__#00-00-00_00-00-51_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=HSisjzLESak__#00-00-00_00-00-51_label_B6-0-0_batch_2405.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=HSisjzLESak__#00-00-00_00-00-51_label_B6-0-0_batch_2405.mp4,0
Casino.Royale.2006__#00-18-30_00-19-20_label_G-B2-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Casino.Royale.2006__#00-18-30_00-19-20_label_G-B2-0_batch_460.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Casino.Royale.2006__#00-18-30_00-19-20_label_G-B2-0_batch_460.mp4,0
wangted.2008__#0-48-30_0-49-00_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\wangted.2008__#0-48-30_0-49-00_label_B2-0-0_batch_593.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\wangted.2008__#0-48-30_0-49-00_label_B2-0-0_batch_593.mp4,4
